product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
175700773,Marketing Căn Bản (Tái bản),Don Sexton,229000,167170,73,Sách Marketing - Bán hàng ,12,4.5,404,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/c3/5c/72/aa9f3ab0519b0b24251e62ede6a7e924.jpg
138934622,Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-3 Tuổi - Tập 2,,16000,12000,222,Tô màu - Luyện chữ  ,20,5,10,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/3e/de/a2/10a3bf7787f8eaa9bcc5a295282e7b41.jpg
68169402,Sói Già Phố Wall - Phần I (Tái Bản 2020),Jordan Belfort,189000,115000,661,"Sách tài chính, tiền tệ",160,4.8,692,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/68/b5/6a/78613d52bb6aba040aa89c6c7c57e3d6.jpg
91515694,Phân tích tài chính doanh nghiệp Tai bản lần thứ 5 - chỉnh sửa bổ sung năm 2021 (Tái bản 2022),,249000,99000,706,"Sách tài chính, tiền tệ",122,4.8,446,Nhà Xuất Bản Tài Chính,https://salt.tikicdn.com/ts/product/7d/cf/9f/e1695f7362ff3b7326b24f33a368de80.jpg
190592919,Combo 2 Cuốn: Thần Số Học + Luật Tâm Thức,Nhiều tác giả,420000,292001,53,Sách tư duy - Kỹ năng sống,10,4.8,,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/00/af/1b/bc72e8496b62c264dd47d173f9e1782c.jpg
57350380,Very Easy Toeic 1 - Introduction,Anne Taylor,228000,150400,791,Sách Học Tiếng Anh,213,4.6,240,Nhà Xuất Bản Compass Publishing,https://salt.tikicdn.com/media/catalog/producttmp/98/d1/2c/443eca95ece30fb05987db48562b2886.jpg
187859733,Thám Tử Đã Chết Tập 4,Nigozyu,109000,76300,242,Light novel,85,5,376,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/81/6d/14/512d3abda5f642ff166cff5b5043bee5.jpg
21430154,Thiết Kế Lấy Người Dùng Làm Trung Tâm,Don Norman,199000,127000,2204,Sách Marketing - Bán hàng ,243,4.7,424,,https://salt.tikicdn.com/ts/product/71/ab/43/adb27736060eecbbe31d5dbc3964fb4c.jpg
171103376,Đánh Thức Con Người Phi Thường Trong Bạn (Bìa Cứng),Anthony Robbins,208000,137200,117,Sách tư duy - Kỹ năng sống,11,5,352,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/91/da/da/7aa58688edca130f47e0b407b94bc205.jpg
160488878,Việt Nam Dọc Miền Du Ký - Tập 2,,219000,153300,214,Sách Địa Danh - Du Lịch,36,5,168,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/ed/8d/00/e67fde6bf045046735b8787dbe72e6f6.jpg
83789519,Cô Gái Trong Cabin Số 10,Ruth Ware,159000,119000,221,Truyện trinh thám,45,4.6,456,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/56/f9/03/866bd3be40d00cf1a8fbf08d719d9d3a.jpg
821895,Vẻ Đẹp Của Yêu Tinh,Đỗ Anh Vũ,82000,65600,5,Tiểu Thuyết,1,5,307,,https://salt.tikicdn.com/ts/product/c0/c4/46/8a3bf29a23d05bf08ad2a04da30bb44e.jpg
207475556,Birdmen Tập 13 [Tặng Kèm Postcard],Yellow Tanabe,30000,30000,14,Birdmen Tập 13 [Tặng Kèm Postcard],0,0,192,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/43/2f/76/7ebdbdfe5e63bb727acfdbb60e947a0d.jpg
187843291,Nhật ký Đặng Thùy Trâm,Đặng Thùy Trâm,90000,54000,172,Truyện ngắn - Tản văn - Tạp Văn,13,5,296,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8f/a0/2c/d4d1a5f0022b485604b5a3f7c47d822d.jpg
70415987,Một Mảnh Trăng (Tặng Kèm 1 Obi Và 1 Bookmark),Ha Hyun,129000,66800,2267,Truyện ngắn - Tản văn - Tạp Văn,693,4.8,288,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/12/c3/3a/3a78fc7a57e71a812c463f376028ee75.jpg
50353488,Heidegger Và Con Hà Mã Bước Qua Cổng Thiên Đường (Tái Bản 2020),Thomas Cathcart,105000,63000,948,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,168,5,252,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ee/53/7c/646755a4cbb4cf24b49bb908d8914368.jpg
